"Series Key",ELEC.GEN.COW-US-99.M,"Series Key",ELEC.GEN.NG-US-99.M,"Series Key",ELEC.GEN.NUC-US-99.M,"Series Key",ELEC.GEN.HYC-US-99.M,"Series Key",ELEC.GEN.WND-US-99.M
"Series Name","Net generation : coal : United States : all sectors : monthly","Series Name","Net generation : natural gas : United States : all sectors : monthly","Series Name","Net generation : nuclear : United States : all sectors : monthly","Series Name","Net generation : conventional hydroelectric : United States : all sectors : monthly","Series Name","Net generation : wind : United States : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200509,171656.21549,200509,73355.48269,200509,66738.979,200509,17363.68401,200509,1468.34696
200508,187573.75443,200508,100786.65435,200508,71381.55,200508,21565.67882,200508,1138.03152
200507,186090.75719,200507,96819.41031,200507,71070.011,200507,25956.84152,200507,1420.94183
200506,174866.99726,200506,75635.49254,200506,66144.275,200506,26782.98993,200506,1796.92435
200505,153957.96154,200505,54826.00402,200505,62970.464,200505,27278.51096,200505,1746.42955
200504,143083.23903,200504,52016.28598,200504,55484.01,200504,23058.35863,200504,1697.5037
200503,163612.7005,200503,51896.97271,200503,61538.53,200503,22936.06749,200503,1560.62565
200502,155818.01413,200502,44912.61665,200502,60946.934,200502,21606.77394,200502,966.48178
200501,177013.90662,200501,51337.62707,200501,69828.239,200501,24272.16485,200501,1131.5685
200412,176755.20145,200412,51309.56547,200412,68616.627,200412,26210.71849,200412,1172.00867
200411,157435.99421,200411,49693.03398,200411,58940.863,200411,20937.04438,200411,932.203
200410,157605.0954,200410,57228.81399,200410,62530.352,200410,18862.7954,200410,1028.87272
200409,164252.92334,200409,67853.99334,200409,65932.057,200409,20525.26137,200409,1089.61523
200408,178181.34259,200408,77820.68835,200408,71068.483,200408,21591.96742,200408,1050.71885
200407,181491.82062,200407,79290.02224,200407,71975.04,200407,23318.27953,200407,1164.37009
200406,167641.90627,200406,64685.66904,200406,67734.073,200406,25252.34503,200406,1397.20574
200405,157016.37723,200405,62021.80807,200405,64917.412,200405,24019.71812,200405,1701.65148
200404,141470.95622,200404,51821.98826,200404,58620.255,200404,20887.97481,200404,1294.8568
